Régions;Ensemble;;;;;;;;;;;;;;;;;;;;;Hommes;;;;;;;;;;;;;;;;;;;;;Femmes;;;;;;;;;;;;;;;;;;;;
;0 à 4 ans;5 à 9 ans;10 à 14 ans;15 à 19 ans;20 à 24 ans;25 à 29 ans;30 à 34 ans;35 à 39 ans;40 à 44 ans;45 à 49 ans;50 à 54 ans;55 à 59 ans;60 à 64 ans;65 à 69 ans;70 à 74 ans;75 à 79 ans;80 à 84 ans;85 à 89 ans;90 à 94 ans;95 ans et plus;Total;0 à 4 ans;5 à 9 ans;10 à 14 ans;15 à 19 ans;20 à 24 ans;25 à 29 ans;30 à 34 ans;35 à 39 ans;40 à 44 ans;45 à 49 ans;50 à 54 ans;55 à 59 ans;60 à 64 ans;65 à 69 ans;70 à 74 ans;75 à 79 ans;80 à 84 ans;85 à 89 ans;90 à 94 ans;95 ans et plus;Total;0 à 4 ans;5 à 9 ans;10 à 14 ans;15 à 19 ans;20 à 24 ans;25 à 29 ans;30 à 34 ans;35 à 39 ans;40 à 44 ans;45 à 49 ans;50 à 54 ans;55 à 59 ans;60 à 64 ans;65 à 69 ans;70 à 74 ans;75 à 79 ans;80 à 84 ans;85 à 89 ans;90 à 94 ans;95 ans et plus;Total
Auvergne-Rhône-Alpes;388 164;466 872;512 016;519 347;468 348;475 167;501 559;533 841;536 059;512 891;536 960;531 960;510 782;461 124;423 575;396 501;241 675;162 378;91 818;32 154;8 303 191;199 343;239 085;262 491;268 961;241 782;240 346;250 427;262 858;263 089;252 901;268 667;263 796;250 848;219 761;195 464;178 833;103 985;62 981;28 435;6 823;4 060 876;188 821;227 787;249 525;250 386;226 566;234 821;251 132;270 983;272 970;259 990;268 293;268 164;259 934;241 363;228 111;217 668;137 690;99 397;63 383;25 331;4 242 315
Bourgogne-Franche-Comté;118 455;148 161;162 464;167 288;144 148;145 045;148 779;162 473;167 921;163 721;180 340;188 154;187 727;180 605;169 285;158 633;89 184;63 963;35 715;11 982;2 794 043;60 961;75 955;83 297;87 907;76 824;75 028;75 122;80 987;83 268;81 508;89 314;93 767;91 978;86 064;78 393;72 117;38 525;24 655;10 796;2 463;1 368 929;57 494;72 206;79 167;79 381;67 324;70 017;73 657;81 486;84 653;82 213;91 026;94 387;95 749;94 541;90 892;86 516;50 659;39 308;24 919;9 519;1 425 114
Bretagne;150 512;182 963;204 157;214 448;186 261;184 033;188 944;205 211;213 357;211 382;230 928;230 122;233 362;229 542;210 749;195 505;103 967;78 417;42 857;13 341;3 510 058;76 736;94 271;104 064;111 139;97 333;94 873;95 274;102 537;105 342;105 299;115 450;113 393;113 857;109 775;97 926;87 418;43 125;28 706;12 598;2 675;1 711 791;73 776;88 692;100 093;103 309;88 928;89 160;93 670;102 674;108 015;106 083;115 478;116 729;119 505;119 767;112 823;108 087;60 842;49 711;30 259;10 666;1 798 267
Centre-Val-de-Loire;118 435;141 464;157 064;159 459;132 033;133 586;138 413;152 291;157 117;152 810;169 589;171 639;167 216;160 459;151 932;141 935;81 002;57 639;33 718;11 485;2 589 286;61 087;72 663;79 984;83 341;69 265;67 869;68 832;74 646;76 622;75 034;83 634;84 540;81 472;76 262;70 212;63 951;34 674;22 346;10 984;2 686;1 260 104;57 348;68 801;77 080;76 118;62 768;65 717;69 581;77 645;80 495;77 776;85 955;87 099;85 744;84 197;81 720;77 984;46 328;35 293;22 734;8 799;1 329 182
Corse;14 296;18 703;18 887;18 090;16 630;18 304;19 979;22 975;23 550;23 679;24 223;25 060;24 997;24 573;23 084;20 778;13 407;8 798;4 237;1 386;365 636;7 117;9 385;9 596;9 431;8 497;8 973;9 518;11 178;11 341;11 599;11 786;12 486;12 024;11 938;10 921;9 751;5 936;3 767;1 427;323;176 994;7 179;9 318;9 291;8 659;8 133;9 331;10 461;11 797;12 209;12 080;12 437;12 574;12 973;12 635;12 163;11 027;7 471;5 031;2 810;1 063;188 642
Grand Est;239 533;292 284;325 162;338 493;313 487;313 967;322 859;348 622;352 750;336 038;358 160;366 592;369 510;342 026;313 996;274 541;148 208;111 021;58 609;18 413;5 544 271;122 323;151 166;166 769;176 379;163 493;161 371;161 842;172 523;173 872;167 633;177 501;181 183;180 953;162 526;144 773;124 613;63 066;41 706;17 241;3 756;2 714 689;117 210;141 118;158 393;162 114;149 994;152 596;161 017;176 099;178 878;168 405;180 659;185 409;188 557;179 500;169 223;149 928;85 142;69 315;41 368;14 657;2 829 582
Hauts-de-France;293 476;345 537;391 437;399 644;359 697;343 675;346 273;381 334;386 295;364 041;386 833;374 150;364 379;334 887;308 882;277 212;135 020;99 873;54 686;18 433;5 965 764;149 482;177 633;200 668;206 819;183 235;171 759;171 824;188 529;190 638;180 791;192 673;185 692;177 796;156 637;138 939;121 573;55 264;34 310;15 231;3 683;2 903 176;143 994;167 904;190 769;192 825;176 462;171 916;174 449;192 805;195 657;183 250;194 160;188 458;186 583;178 250;169 943;155 639;79 756;65 563;39 455;14 750;3 062 588
Île-de-France;674 437;699 472;796 677;815 489;861 564;926 667;879 844;895 505;857 154;824 887;809 903;756 259;690 647;568 188;488 094;448 097;265 984;185 032;105 838;44 764;12 594 502;344 073;357 986;407 640;416 472;424 523;454 119;430 026;436 690;414 496;405 405;403 004;370 714;333 574;264 988;218 114;197 661;114 438;71 505;34 019;10 675;6 110 122;330 364;341 486;389 037;399 017;437 041;472 548;449 818;458 815;442 658;419 482;406 899;385 545;357 073;303 200;269 980;250 436;151 546;113 527;71 819;34 089;6 484 380
Normandie;153 760;185 273;202 537;207 280;180 575;178 105;184 020;201 235;204 914;195 531;212 590;217 518;220 244;210 665;197 889;179 933;96 176;70 782;40 834;13 865;3 353 726;79 078;94 590;103 019;107 409;94 004;90 370;92 042;99 242;100 506;96 526;104 961;106 682;105 968;99 595;90 609;80 267;40 146;25 796;11 799;2 706;1 625 315;74 682;90 683;99 518;99 871;86 571;87 735;91 978;101 993;104 408;99 005;107 629;110 836;114 276;111 070;107 280;99 666;56 030;44 986;29 035;11 159;1 728 411
Nouvelle-Aquitaine;252 471;307 375;342 239;357 998;314 747;316 398;335 335;370 326;379 660;378 914;412 626;416 956;422 050;410 239;392 145;365 735;207 079;144 337;86 023;29 131;6 241 784;128 631;157 832;175 196;185 171;164 439;160 715;166 183;182 456;185 240;185 858;203 153;203 608;203 250;194 238;182 003;166 117;88 854;55 491;27 406;5 923;3 021 764;123 840;149 543;167 043;172 827;150 308;155 683;169 152;187 870;194 420;193 056;209 473;213 348;218 800;216 001;210 142;199 618;118 225;88 846;58 617;23 208;3 220 020
Occitanie;262 631;318 467;355 990;375 498;344 641;337 940;349 921;375 678;382 616;381 286;401 404;408 872;413 026;389 363;362 193;341 194;205 239;135 491;78 926;26 612;6 246 988;134 469;162 707;181 603;193 993;177 444;170 828;173 070;183 674;185 349;186 645;196 370;199 126;199 890;184 624;169 237;154 047;88 591;52 962;25 945;5 908;3 026 482;128 162;155 760;174 387;181 505;167 197;167 112;176 851;192 004;197 267;194 641;205 034;209 746;213 136;204 739;192 956;187 147;116 648;82 529;52 981;20 704;3 220 506
Pays de la Loire;185 772;219 062;245 490;255 476;221 843;216 839;225 139;242 349;249 488;244 768;258 769;247 709;243 643;233 010;219 189;201 870;109 221;81 430;47 631;16 528;3 965 226;95 753;113 306;125 647;132 491;115 606;110 404;112 827;120 504;123 238;122 346;129 245;122 878;118 737;111 160;101 160;90 927;46 283;30 992;15 235;3 413;1 942 152;90 019;105 756;119 843;122 985;106 237;106 435;112 312;121 845;126 250;122 422;129 524;124 831;124 906;121 850;118 029;110 943;62 938;50 438;32 396;13 115;2 023 074
Provence-Alpes-Côte d'Azur;237 542;265 984;299 899;301 338;269 672;284 753;296 532;325 648;328 002;324 756;338 992;350 034;353 523;326 505;303 575;291 600;192 080;127 405;72 698;27 832;5 318 370;121 230;137 387;153 968;156 637;139 237;141 273;143 918;157 748;157 911;158 048;165 277;168 790;168 016;151 836;138 496;129 674;81 293;50 146;23 767;6 664;2 551 316;116 312;128 597;145 931;144 701;130 435;143 480;152 614;167 900;170 091;166 708;173 715;181 244;185 507;174 669;165 079;161 926;110 787;77 259;48 931;21 168;2 767 054
